Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"North Park, Maple Leaf Park, Upwood Park",Massage Studio,Park,Bakery,Construction & Landscaping,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
North Toronto West,Clothing Store,Coffee Shop,Yoga Studio,Chinese Restaurant,Spa,Sporting Goods Shop,Fast Food Restaurant,Salon / Barbershop,Diner,Mexican Restaurant
"Northwood Park, York University",Caribbean Restaurant,Coffee Shop,Massage Studio,Bar,Miscellaneous Shop,Furniture / Home Store,Falafel Restaurant,Coworking Space,Creperie,Ethiopian Restaurant
"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",Pool,Baseball Field,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
Ontario Provincial Government,Coffee Shop,Sushi Restaurant,Yoga Studio,College Auditorium,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Burger Joint,Burrito Place
"Parkdale, Roncesvalles",Breakfast Spot,Gift Shop,Coffee Shop,Restaurant,Italian Restaurant,Dessert Shop,Dog Run,Movie Theater,Bank,Cuban Restaurant
"Parkview Hill, Woodbine Gardens",Pizza Place,Gym / Fitness Center,Athletics & Sports,Gastropub,Intersection,Flea Market,Pet Store,Breakfast Spot,Bank,Pharmacy
Parkwoods,Park,Food & Drink Shop,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
"Regent Park, Harbourfront",Coffee Shop,Pub,Bakery,Park,Café,Breakfast Spot,Theater,Yoga Studio,Electronics Store,Restaurant
"Richmond, Adelaide, King",Coffee Shop,Café,Restaurant,Thai Restaurant,Clothing Store,Deli / Bodega,Gym,Salad Place,Cosmetics Shop,Pizza Place
Rosedale,Park,Trail,Playground,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
Roselawn,Garden,Home Service,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Dessert Shop
"Rouge Hill, Port Union, Highland Creek",Bar,Yoga Studio,Dim Sum Restaurant,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore
"Runnymede, Swansea",Café,Coffee Shop,Pizza Place,Pub,Restaurant,Sushi Restaurant,Italian Restaurant,Yoga Studio,Falafel Restaurant,Bar
"Runnymede, The Junction North",Grocery Store,Bus Line,Convenience Store,Brewery,Yoga Studio,Drugstore,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
Scarborough Village,Jewelry Store,Playground,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",Grocery Store,Pizza Place,Pharmacy,Fast Food Restaurant,Sandwich Place,Beer Store,Fried Chicken Joint,Dumpling Restaurant,Drugstore,Department Store
St. James Town,Coffee Shop,Café,Gastropub,Cocktail Bar,Clothing Store,Cosmetics Shop,Beer Bar,Moroccan Restaurant,Creperie,Department Store
"St. James Town, Cabbagetown",Coffee Shop,Café,Bakery,Italian Restaurant,Pub,Park,Restaurant,Chinese Restaurant,Market,Pizza Place
"Steeles West, L'Amoreaux West",Pharmacy,Chinese Restaurant,Breakfast Spot,Fast Food Restaurant,Sandwich Place,Discount Store,Supermarket,Bank,Intersection,Electronics Store
Studio District,Coffee Shop,American Restaurant,Bakery,Brewery,Café,Gastropub,Yoga Studio,Diner,Park,Middle Eastern Restaurant
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,Pub,Fried Chicken Joint,Liquor Store,Restaurant,Bank,Supermarket,Sushi Restaurant,Bagel Shop,Light Rail Station
"The Annex, North Midtown, Yorkville",Café,Sandwich Place,Coffee Shop,BBQ Joint,Middle Eastern Restaurant,Liquor Store,Pub,Indian Restaurant,History Museum,Burger Joint
The Beaches,Trail,Category_Neighborhood,Health Food Store,Pub,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
The Danforth  East,Park,Convenience Store,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
"The Danforth West, Riverdale",Greek Restaurant,Italian Restaurant,Coffee Shop,Bookstore,Furniture / Home Store,Ice Cream Shop,Dessert Shop,Pub,Caribbean Restaurant,Café
"The Kingsway, Montgomery Road, Old Mill North",Pool,River,Yoga Studio,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
Thorncliffe Park,Indian Restaurant,Yoga Studio,Gym,Restaurant,Pizza Place,Pharmacy,Park,Middle Eastern Restaurant,Intersection,Grocery Store
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Italian Restaurant,Salad Place,Restaurant,Seafood Restaurant,Japanese Restaurant,Asian Restaurant,Breakfast Spot
"University of Toronto, Harbord",Café,Yoga Studio,Bar,Bookstore,Bakery,Japanese Restaurant,Italian Restaurant,Dessert Shop,Comfort Food Restaurant,Noodle House
Victoria Village,Portuguese Restaurant,Coffee Shop,Hockey Arena,Intersection,Pizza Place,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop
Westmount,Pizza Place,Intersection,Middle Eastern Restaurant,Playground,Chinese Restaurant,Coffee Shop,Sandwich Place,Discount Store,Distribution Center,Dim Sum Restaurant
Weston,Park,Jewelry Store,Convenience Store,Yoga Studio,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
"Wexford, Maryvale",Auto Garage,Bakery,Middle Eastern Restaurant,Sandwich Place,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Yoga Studio,Diner
Willowdale South,Coffee Shop,Ramen Restaurant,Café,Shopping Mall,Pizza Place,Bank,Hotel,Ice Cream Shop,Fast Food Restaurant,Juice Bar
Willowdale West,Pharmacy,Coffee Shop,Supermarket,Butcher,Pizza Place,Grocery Store,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore
Woburn,Coffee Shop,Korean BBQ Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
Woodbine Heights,Park,Skating Rink,Beer Store,Athletics & Sports,Curling Ice,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant
York Mills West,Park,Convenience Store,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
"York Mills, Silver Hills",Martial Arts School,Yoga Studio,Falafel Restaurant,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
