PostalCode,Borough,Neighborhood,Postal Code,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4R,Central Toronto,North Toronto West,M4R,43.7153834,-79.40567840000001,0.0,Clothing Store,Coffee Shop,Yoga Studio,Chinese Restaurant,Spa,Sporting Goods Shop,Fast Food Restaurant,Salon / Barbershop,Diner,Mexican Restaurant
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.40567840000001,0.0,Café,Sandwich Place,Coffee Shop,BBQ Joint,Middle Eastern Restaurant,Liquor Store,Pub,Indian Restaurant,History Museum,Burger Joint
M6R,West Toronto,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325,0.0,Breakfast Spot,Gift Shop,Coffee Shop,Restaurant,Italian Restaurant,Dessert Shop,Dog Run,Movie Theater,Bank,Cuban Restaurant
M7R,Mississauga,Enclave of L4W,M7R,43.6369656,-79.61581899999999,0.0,Coffee Shop,Hotel,American Restaurant,Intersection,Middle Eastern Restaurant,Gas Station,Mediterranean Restaurant,Sandwich Place,Fried Chicken Joint,Burrito Place
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",M9R,43.6889054,-79.55472440000001,0.0,Park,Pizza Place,Bus Line,Sandwich Place,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
M1S,Scarborough,Agincourt,M1S,43.7942003,-79.26202940000002,0.0,Lounge,Latin American Restaurant,Breakfast Spot,Clothing Store,Dumpling Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M4S,Central Toronto,Davisville,M4S,43.7043244,-79.3887901,0.0,Sandwich Place,Dessert Shop,Pizza Place,Sushi Restaurant,Gym,Italian Restaurant,Café,Coffee Shop,Thai Restaurant,Seafood Restaurant
M5S,Downtown Toronto,"University of Toronto, Harbord",M5S,43.6626956,-79.4000493,0.0,Café,Yoga Studio,Bar,Bookstore,Bakery,Japanese Restaurant,Italian Restaurant,Dessert Shop,Comfort Food Restaurant,Noodle House
M6S,West Toronto,"Runnymede, Swansea",M6S,43.6515706,-79.4844499,0.0,Café,Coffee Shop,Pizza Place,Pub,Restaurant,Sushi Restaurant,Italian Restaurant,Yoga Studio,Falafel Restaurant,Bar
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",M1T,43.7816375,-79.3043021,0.0,Pizza Place,Fried Chicken Joint,Noodle House,Italian Restaurant,Thai Restaurant,Chinese Restaurant,Intersection,Gas Station,Convenience Store,Fast Food Restaurant
M4T,Central Toronto,"Moore Park, Summerhill East",M4T,43.6895743,-79.38315990000001,0.0,Restaurant,Trail,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Department Store
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",M5T,43.6532057,-79.4000493,0.0,Café,Coffee Shop,Mexican Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Gaming Cafe,Arts & Crafts Store,Burger Joint,Grocery Store,Bakery
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",M1V,43.8152522,-79.2845772,3.0,Park,Playground,Intersection,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Drugstore
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.68641229999999,-79.4000493,0.0,Coffee Shop,Pub,Fried Chicken Joint,Liquor Store,Restaurant,Bank,Supermarket,Sushi Restaurant,Bagel Shop,Light Rail Station
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,0.0,Airport Lounge,Airport Service,Boutique,Coffee Shop,Boat or Ferry,Rental Car Location,Harbor / Marina,Bar,Sculpture Garden,Airport Terminal
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",M8V,43.6056466,-79.50132070000001,0.0,Café,Pet Store,American Restaurant,Fast Food Restaurant,Restaurant,Bakery,Liquor Store,Gym,Pharmacy,Pizza Place
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",M9V,43.739416399999996,-79.5884369,0.0,Grocery Store,Pizza Place,Pharmacy,Fast Food Restaurant,Sandwich Place,Beer Store,Fried Chicken Joint,Dumpling Restaurant,Drugstore,Department Store
M1W,Scarborough,"Steeles West, L'Amoreaux West",M1W,43.799525200000005,-79.3183887,0.0,Pharmacy,Chinese Restaurant,Breakfast Spot,Fast Food Restaurant,Sandwich Place,Discount Store,Supermarket,Bank,Intersection,Electronics Store
M4W,Downtown Toronto,Rosedale,M4W,43.6795626,-79.37752940000001,3.0,Park,Trail,Playground,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
M5W,Downtown Toronto Stn A,Enclave of M5E,M5W,43.6464352,-79.37484599999999,0.0,Coffee Shop,Seafood Restaurant,Italian Restaurant,Restaurant,Café,Beer Bar,Cocktail Bar,Hotel,Japanese Restaurant,Lounge
M8W,Etobicoke,"Alderwood, Long Branch",M8W,43.60241370000001,-79.54348409999999,0.0,Pizza Place,Gym,Playground,Coffee Shop,Sandwich Place,Pub,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner
M9W,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",M9W,43.706748299999994,-79.5940544,0.0,Rental Car Location,Garden Center,Bar,Drugstore,Truck Stop,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
M1X,Scarborough,Upper Rouge,M1X,43.836124700000006,-79.20563609999999,,,,,,,,,,,
M4X,Downtown Toronto,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,0.0,Coffee Shop,Café,Bakery,Italian Restaurant,Pub,Park,Restaurant,Chinese Restaurant,Market,Pizza Place
M5X,Downtown Toronto,"First Canadian Place, Underground city",M5X,43.6484292,-79.3822802,0.0,Coffee Shop,Café,Hotel,Japanese Restaurant,Gym,Restaurant,Seafood Restaurant,Asian Restaurant,Deli / Bodega,American Restaurant
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",M8X,43.653653600000005,-79.5069436,0.0,Pool,River,Yoga Studio,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
M4Y,Downtown Toronto,Church and Wellesley,M4Y,43.6658599,-79.38315990000001,0.0,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Restaurant,Yoga Studio,Fast Food Restaurant,Pub,Hotel,Gay Bar,Men's Store
M7Y,East Toronto Business,Enclave of M4L,M7Y,43.6627439,-79.321558,0.0,Light Rail Station,Yoga Studio,Smoke Shop,Auto Workshop,Brewery,Burrito Place,Comic Shop,Farmers Market,Fast Food Restaurant,Garden
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M8Y,43.6362579,-79.49850909999999,4.0,Pool,Baseball Field,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M8Z,43.6288408,-79.52099940000001,0.0,Bakery,Wings Joint,Grocery Store,Gym,Discount Store,Fast Food Restaurant,Hardware Store,Convenience Store,Kids Store,Supplement Shop
